OBJECTID,BldgID,Parcel_id,LOC_ID,Addrptid,FullAddr,Town,StrucType,Notes,SourceData,EditReason,AreaSqFt,BaseElev,LowHeight,TopHeight,last_edited_user,last_edited_date,GlobalID,IsActive,Shape__Area
1,3561,001.0-0001-0001.0,F_753626_2972095,ADDR-100,102 MASS AVE,Arlington,Building,,,,2420.0,20.63,27.84,34.33,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7f48782f-9b84-4b88-85c2-d159694a6851,Y,2419.711669921875
2,3562,001.0-0001-0002.0,F_753639_2972040,ADDR-101,98 MASS AVE,Arlington,Building,,,,1967.0,20.53,35.86,56.03,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9ed29e02-0ded-4054-b909-99e4621d8ebf,Y,1967.05224609375
3,3563,001.0-0001-0002.0,F_753639_2972040,,10 MAGNOLIA ST,Arlington,Out Building,,,,642.0,20.04,28.1,35.12,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1e6dc722-c64d-43e2-a206-8cc2aef4c643,Y,642.224365234375
4,3564,001.0-0001-0003.A,F_753706_2972003,ADDR-102,94 MASS AVE,Arlington,Building,,,,1028.0,20.91,27.5,35.01,ArlingtonMA_GIS,2023-10-24 20:02:07.930,2159ce5d-7144-4500-87d6-bafaab82b00a,Y,1027.666748046875
5,3565,001.0-0001-0004.A,F_753666_2971965,ADDR-103,5 THORNDIKE ST,Arlington,Building,,,,1419.0,19.74,45.69,56.87,ArlingtonMA_GIS,2023-10-24 20:02:07.930,70fa2d82-2aa1-47f7-b8cc-b4681da531f5,Y,1419.01025390625
6,3566,001.0-0001-0004.A,F_753666_2971965,,94 MASS AVE,Arlington,Out Building,,,,394.0,19.92,25.41,28.89,ArlingtonMA_GIS,2023-10-24 20:02:07.930,84114def-0ced-481f-9851-71f966100ea4,Y,393.8076171875
7,3567,001.0-0001-0005.0,F_753630_2971933,ADDR-104,7 THORNDIKE ST,Arlington,Building,,,,1612.0,19.94,45.42,54.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1dfe1c6d-f74b-4b82-81a4-2778da4cf8c1,Y,1612.100341796875
8,3568,001.0-0001-0005.0,F_753630_2971933,,7 THORNDIKE ST,Arlington,Out Building,,,,433.0,20.58,27.65,33.26,ArlingtonMA_GIS,2023-10-24 20:02:07.930,bd618352-8adc-4b6d-9de5-63f9479acd18,Y,433.08349609375
9,3569,001.0-0001-0006.0,F_753594_2971900,ADDR-105,11 THORNDIKE ST,Arlington,Building,,,,1732.0,20.32,41.22,53.98,ArlingtonMA_GIS,2023-10-24 20:02:07.930,24d4c58b-9859-4170-af78-6484f61a8a38,Y,1731.545654296875
10,3570,001.0-0001-0006.0,F_753594_2971900,,11 THORNDIKE ST,Arlington,Out Building,,,,495.0,20.84,29.83,35.59,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6b302b82-0aed-4c3d-af64-b86fa366a16e,Y,494.573974609375
11,3571,001.0-0001-0007.0,F_753561_2971870,ADDR-106,15 THORNDIKE ST,Arlington,Building,,,,1582.0,20.03,37.65,52.12,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d9e2ccde-36cb-4f9a-bad5-afc2345481cf,Y,1582.324462890625
12,3572,001.0-0001-0007.0,F_753561_2971870,,15 THORNDIKE ST,Arlington,Out Building,,,,470.0,21.21,29.59,35.15,ArlingtonMA_GIS,2023-10-24 20:02:07.930,466f27ca-e2f6-47b0-9eeb-e4fcc0417c2d,Y,469.9189453125
13,3573,001.0-0001-0008.0,F_753532_2971844,ADDR-107,19 THORNDIKE ST,Arlington,Building,,,,1616.0,19.65,36.48,51.67,ArlingtonMA_GIS,2023-10-24 20:02:07.930,c6a47e38-0e2e-409b-89bb-c0248ad58835,Y,1616.064453125
14,3574,001.0-0001-0008.0,F_753532_2971844,,19 THORNDIKE ST,Arlington,Out Building,,,,484.0,20.83,29.2,35.72,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e04c491e-3a9d-4fe6-ae7a-9897f1f3212b,Y,484.0908203125
15,3575,001.0-0001-0009.0,F_753497_2971811,ADDR-108,23 THORNDIKE ST,Arlington,Building,,,,1835.0,19.58,40.02,50.95,ArlingtonMA_GIS,2023-10-24 20:02:07.930,ea0b05d3-6dcf-4d8b-9bdf-3d6b39193372,Y,1834.874755859375
16,3576,001.0-0001-0009.0,F_753497_2971811,,21 THORNDIKE ST,Arlington,Out Building,,,,493.0,20.23,28.57,35.21,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7f894c62-ee31-4755-b04d-2dc0f85314fc,Y,493.337890625
17,3577,001.0-0001-0010.0,F_753460_2971778,ADDR-109,27 THORNDIKE ST,Arlington,Building,,,,1544.0,19.12,38.99,50.32,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b91ee261-e82a-4ba3-a3f1-a3c5a1b8ed01,Y,1543.747314453125
18,3578,001.0-0001-0010.0,F_753460_2971778,,27 THORNDIKE ST,Arlington,Out Building,,,,370.0,20.43,28.87,34.04,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1e3c618d-175c-4e6c-8367-cd20577763a3,Y,370.050537109375
19,3579,001.0-0001-0011.0,F_753429_2971750,ADDR-110,31 THORNDIKE ST,Arlington,Building,,,,1581.0,18.23,35.21,50.47,ArlingtonMA_GIS,2023-10-24 20:02:07.930,21a09e47-df8a-4865-be0e-71236458bfa3,Y,1581.138671875
20,3580,001.0-0001-0011.0,F_753429_2971750,,31 THORNDIKE ST,Arlington,Out Building,,,,444.0,19.24,28.06,32.86,ArlingtonMA_GIS,2023-10-24 20:02:07.930,212f29ea-0a2f-4f37-acda-04d92456fa53,Y,443.9267578125
21,3581,001.0-0001-0012.0,F_753398_2971722,ADDR-111,35 THORNDIKE ST,Arlington,Building,,,,1585.0,17.43,35.39,49.87,ArlingtonMA_GIS,2023-10-24 20:02:07.930,3e2633c2-d1fa-4fc9-867a-868582f40aca,Y,1584.9521484375
22,3582,001.0-0001-0013.0,F_753365_2971691,ADDR-112,39 THORNDIKE ST,Arlington,Building,,,,1646.0,17.07,34.13,49.48,ArlingtonMA_GIS,2023-10-24 20:02:07.930,53f2b4de-28cb-4695-af4a-bc0e3d6093db,Y,1646.440673828125
23,3583,001.0-0001-0013.0,F_753365_2971691,,39 THORNDIKE ST,Arlington,Out Building,,,,386.0,17.72,26.74,32.54,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a521ddef-3576-4880-b15f-bf2bab4b68c9,Y,386.470947265625
24,3584,001.0-0001-0014.0,F_753332_2971661,ADDR-113,43 THORNDIKE ST,Arlington,Building,,,,1257.0,16.09,31.34,44.26,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b6611c69-7d87-494c-9e09-26e54e7a3007,Y,1256.653564453125
25,3585,001.0-0001-0015.0,F_753302_2971634,ADDR-114,47 THORNDIKE ST,Arlington,Building,,,,1037.0,15.18,37.31,49.06,ArlingtonMA_GIS,2023-10-24 20:02:07.930,311b921a-ed1a-415b-b7d5-06cada444f6e,Y,1036.93701171875
26,3586,001.0-0001-0015.0,F_753302_2971634,,47 THORNDIKE ST,Arlington,Out Building,,,,117.0,15.13,22.12,24.62,ArlingtonMA_GIS,2023-10-24 20:02:07.930,49d5e789-ccfb-4304-ad96-c1522b5162a2,Y,117.37548828125
27,3587,001.0-0001-0016.0,F_753271_2971606,ADDR-115,51 THORNDIKE ST,Arlington,Building,,,,1603.0,14.66,32.75,48.25,ArlingtonMA_GIS,2023-10-24 20:02:07.930,401b2014-3fc9-42ce-948a-fcc086c2d0c5,Y,1602.752685546875
28,3588,001.0-0001-0017.0,F_753242_2971579,ADDR-116,55 THORNDIKE ST,Arlington,Building,,,,1800.0,13.7,33.86,46.54,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a8a8f103-2c9c-4b5a-8a4b-ae68e7e7ddf4,Y,1799.787841796875
29,3589,001.0-0001-0018.0,F_753213_2971553,ADDR-117,59 THORNDIKE ST,Arlington,Building,,,,1739.0,13.27,28.03,46.45,ArlingtonMA_GIS,2023-10-24 20:02:07.930,425f306a-9d2a-4ddd-ba98-ec6f11d5f3a8,Y,1739.457763671875
30,3590,001.0-0001-0019.0,F_753184_2971526,ADDR-118,63 THORNDIKE ST,Arlington,Building,,,,1522.0,12.82,30.5,44.77,ArlingtonMA_GIS,2023-10-24 20:02:07.930,75e18d21-1df4-4ac8-a982-f231a59faf26,Y,1521.9208984375
31,3591,001.0-0001-0020.0,F_753154_2971499,ADDR-119,67 THORNDIKE ST,Arlington,Building,,,,1496.0,12.47,37.67,44.38,ArlingtonMA_GIS,2023-10-24 20:02:07.930,50101ccb-a9d7-4046-b0cb-378376e67a9d,Y,1495.619873046875
32,3592,001.0-0001-0020.0,F_753154_2971499,,67 THORNDIKE ST,Arlington,Out Building,,,,486.0,13.28,22.0,27.35,ArlingtonMA_GIS,2023-10-24 20:02:07.930,2bbb7697-21bf-41dd-9066-a0a0f23aebbc,Y,485.598876953125
33,3593,001.0-0001-0021.0,F_753088_2971574,ADDR-120,52 MAGNOLIA ST,Arlington,Building,,,,1654.0,11.3,33.5,46.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,759cc3c7-678d-4b16-9d27-87a8f1ba74bd,Y,1653.596923828125
34,3594,001.0-0001-0021.0,F_753088_2971574,,52 MAGNOLIA ST,Arlington,Out Building,,,,390.0,12.66,21.43,27.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,8a4d1d87-1ef0-4be7-9728-5449a4e4e66c,Y,389.56640625
35,3595,001.0-0001-0022.0,F_753117_2971600,ADDR-121,48 MAGNOLIA ST,Arlington,Building,,,,1576.0,12.18,29.78,45.2,ArlingtonMA_GIS,2023-10-24 20:02:07.930,2f8f1c85-ded5-4829-b388-2e99c8f15566,Y,1576.017822265625
36,3596,001.0-0001-0022.0,F_753117_2971600,,48 MAGNOLIA ST,Arlington,Out Building,,,,477.0,13.08,22.27,28.22,ArlingtonMA_GIS,2023-10-24 20:02:07.930,cf9ff9e6-4195-45e7-8af1-323c9d4547fa,Y,477.195556640625
37,3597,001.0-0001-0023.0,F_753147_2971627,ADDR-122,46 MAGNOLIA ST,Arlington,Building,,,,1393.0,12.6,35.33,49.52,ArlingtonMA_GIS,2023-10-24 20:02:07.930,34494044-2ab2-4ff5-8f2a-a442668260c4,Y,1392.9404296875
38,3598,001.0-0001-0023.0,F_753147_2971627,,46 MAGNOLIA ST,Arlington,Out Building,,,,483.0,13.28,19.93,27.62,ArlingtonMA_GIS,2023-10-24 20:02:07.930,f1424497-8dc8-47f3-ad39-d59eeada58c2,Y,482.728759765625
39,3599,001.0-0001-0024.0,F_753176_2971653,ADDR-123,44 MAGNOLIA ST,Arlington,Building,,,,1515.0,12.95,29.78,43.25,ArlingtonMA_GIS,2023-10-24 20:02:07.930,3b47168a-926f-492b-a096-68011cd4b543,Y,1515.450439453125
40,3600,001.0-0001-0025.0,F_753205_2971680,ADDR-124,42 MAGNOLIA ST,Arlington,Building,,,,1484.0,13.37,31.76,44.3,ArlingtonMA_GIS,2023-10-24 20:02:07.930,8c3048b6-6553-4508-9fd7-5c28e86381d4,Y,1483.868896484375
41,3601,001.0-0001-0026.0,F_753235_2971708,ADDR-125,38 MAGNOLIA ST,Arlington,Building,,,,1758.0,14.06,35.51,50.18,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a33ed989-1bbc-4629-87d3-5339954f54c4,Y,1757.962158203125
42,3602,001.0-0001-0026.0,F_753235_2971708,,38 MAGNOLIA ST,Arlington,Out Building,,,,490.0,15.24,24.91,30.47,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b29705a2-0afd-4d44-a9a9-7fc2a7e205a7,Y,489.876708984375
43,3603,001.0-0001-0026.0,F_753235_2971708,ADDR-126,36 MAGNOLIA ST,Arlington,Building,,,,1723.0,15.77,36.56,50.99,ArlingtonMA_GIS,2023-10-24 20:02:07.930,c1083c51-d453-42f7-b0c4-faedfe8e3f45,Y,1722.658935546875
44,3604,001.0-0001-0027.0,F_753265_2971735,,36 MAGNOLIA ST,Arlington,Out Building,,,,508.0,16.41,25.36,30.29,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e390fb98-60f0-4c7d-8636-c69bb3ed50b7,Y,508.1416015625
45,3605,001.0-0001-0028.0,F_753299_2971766,ADDR-127,32 MAGNOLIA ST,Arlington,Building,,,,1752.0,16.67,35.03,49.67,ArlingtonMA_GIS,2023-10-24 20:02:07.930,3c27e1d3-5c17-4747-9c32-d818a67f5eec,Y,1751.90625
46,3606,001.0-0001-0028.0,F_753299_2971766,,32 MAGNOLIA ST,Arlington,Out Building,,,,507.0,17.32,25.78,30.97,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d8edc924-fd50-4324-aa40-7e1d7afccfad,Y,506.885009765625
47,3607,001.0-0001-0029.0,F_753332_2971796,ADDR-128,30 MAGNOLIA ST,Arlington,Building,,,,1405.0,17.32,44.6,54.89,ArlingtonMA_GIS,2023-10-24 20:02:07.930,74c0c974-cab0-4e63-bff9-a3fb588fc9da,Y,1404.69580078125
48,3608,001.0-0001-0029.0,F_753332_2971796,ADDR-129,28 MAGNOLIA ST,Arlington,Building,,,,1526.0,18.34,42.92,54.44,ArlingtonMA_GIS,2023-10-24 20:02:07.930,01fd57aa-7b76-40d1-97c2-db90e5f1f689,Y,1526.27392578125
49,3609,001.0-0001-0030.0,F_753363_2971824,,28 MAGNOLIA ST,Arlington,Out Building,,,,453.0,19.2,28.6,34.21,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9ac2d207-71fd-46ba-a9bf-cabd9baa73da,Y,453.458251953125
50,3610,001.0-0001-0031.0,F_753393_2971852,ADDR-130,24 MAGNOLIA ST,Arlington,Building,,,,1601.0,18.94,39.56,50.63,ArlingtonMA_GIS,2023-10-24 20:02:07.930,352ee2de-691d-4fd7-83f0-7af71f9e791a,Y,1601.4287109375
51,3611,001.0-0001-0032.0,F_753430_2971885,ADDR-131,20 MAGNOLIA ST,Arlington,Building,,,,1628.0,18.88,48.08,59.27,ArlingtonMA_GIS,2023-10-24 20:02:07.930,eea8172c-b879-442b-9a99-c275a3963bcd,Y,1627.75341796875
52,3612,001.0-0001-0032.0,F_753430_2971885,ADDR-132,18 MAGNOLIA ST,Arlington,Building,,,,1633.0,19.49,49.91,59.99,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b7e76d7f-969f-4b7a-a11a-912d3f1167de,Y,1633.44921875
53,3613,001.0-0001-0034.0,F_753494_2971944,ADDR-133,16 MAGNOLIA ST,Arlington,Building,,,,1681.0,20.36,40.91,51.2,ArlingtonMA_GIS,2023-10-24 20:02:07.930,068d073d-c4ed-4014-ba35-6eeb20e94472,Y,1681.484375
54,3614,001.0-0001-0033.0,F_753466_2971918,,16 MAGNOLIA ST,Arlington,Out Building,,,,373.0,21.14,29.14,35.32,ArlingtonMA_GIS,2023-10-24 20:02:07.930,fa795bf3-a06f-4849-a358-d0bd454b9c5b,Y,372.826171875
55,3615,001.0-0001-0035.0,F_753527_2971974,ADDR-134,14 MAGNOLIA ST,Arlington,Building,,,,1720.0,20.42,48.89,60.17,ArlingtonMA_GIS,2023-10-24 20:02:07.930,55e680f5-a3ba-45c6-86b0-9d14c63ffed5,Y,1719.88525390625
56,3616,001.0-0001-0035.0,F_753527_2971974,,14 MAGNOLIA ST,Arlington,Out Building,,,,313.0,21.35,29.56,33.31,ArlingtonMA_GIS,2023-10-24 20:02:07.930,e04f738d-4c48-4bc4-a55e-f9ed14e7f23e,Y,312.591064453125
57,3617,001.0-0001-0036.0,F_753563_2972007,ADDR-135,10 MAGNOLIA ST,Arlington,Building,,,,1772.0,20.55,36.55,54.93,ArlingtonMA_GIS,2023-10-24 20:02:07.930,eb1e5547-8628-4fad-8e36-cd2a999e5c3a,Y,1772.134521484375
58,3618,001.0-0001-0037.0,F_753586_2972059,ADDR-136,6 MAGNOLIA ST,Arlington,Building,,,,1047.0,20.34,46.16,54.08,ArlingtonMA_GIS,2023-10-24 20:02:07.930,47fd2da4-2e5f-4fb1-b6e8-1b2b90181d0e,Y,1047.043212890625
59,3619,001.0-0002-0001.0,F_753785_2971919,ADDR-137,84 MASS AVE,Arlington,Building,,,,1901.0,19.43,32.51,33.17,ArlingtonMA_GIS,2023-10-24 20:02:07.930,56a69070-9095-4eb8-8210-af1fe8195f8b,Y,1900.713134765625
60,3620,001.0-0002-0002.0,F_753800_2971861,ADDR-138,78 MASS AVE,Arlington,Building,,,,1757.0,19.85,37.52,53.66,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6e3ca207-9913-4d2a-9fbf-fa2348df9b27,Y,1756.50048828125
61,3621,001.0-0002-0002.0,F_753800_2971861,,78 MASS AVE,Arlington,Out Building,,,,354.0,20.13,27.8,32.45,ArlingtonMA_GIS,2023-10-24 20:02:07.930,437caf34-ebba-4f81-87d6-aa00c1269c37,Y,353.861572265625
62,3622,001.0-0002-0003.0,F_753834_2971825,ADDR-139,76 MASS AVE,Arlington,Building,,,,1798.0,19.43,36.81,52.97,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1814cd8b-49a9-4636-a92e-8c93b1d76039,Y,1798.334716796875
63,3623,001.0-0002-0004.0,F_753865_2971788,ADDR-140,72 MASS AVE,Arlington,Building,,,,1727.0,17.81,36.26,52.76,ArlingtonMA_GIS,2023-10-24 20:02:07.930,55233db0-43f9-40b0-9ade-c4f0a3bd640e,Y,1726.542236328125
64,3624,001.0-0002-0004.0,F_753865_2971788,,5 FAIRMONT ST,Arlington,Out Building,,,,463.0,17.92,26.36,31.79,ArlingtonMA_GIS,2023-10-24 20:02:07.930,4e6eafdc-8187-4ae3-9cc0-92d1e69090c2,Y,462.525146484375
65,3625,001.0-0002-0005.0,F_753793_2971756,ADDR-141,5 FAIRMONT ST,Arlington,Building,,,,1758.0,15.7,33.27,51.83,ArlingtonMA_GIS,2023-10-24 20:02:07.930,de7b87a0-b401-42b6-a0ca-87507b32b37a,Y,1758.08203125
66,3626,001.0-0002-0005.0,F_753793_2971756,,5 FAIRMONT ST,Arlington,Out Building,,,,507.0,17.4,25.83,33.14,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d4e8d1f4-2d3b-4b97-a647-e520c6f3ac44,Y,507.014404296875
67,3627,001.0-0002-0006.0,F_753756_2971722,ADDR-142,9 FAIRMONT ST,Arlington,Building,,,,1702.0,14.6,35.58,49.37,ArlingtonMA_GIS,2023-10-24 20:02:07.930,c06753bb-b8f6-48b6-ab00-74250d6758df,Y,1702.3759765625
68,3628,001.0-0002-0007.0,F_753722_2971691,ADDR-143,13 FAIRMONT ST,Arlington,Building,,,,1399.0,13.98,37.19,48.59,ArlingtonMA_GIS,2023-10-24 20:02:07.930,efdf9d28-df66-47f5-b9b5-af817cba8e75,Y,1398.70263671875
69,3629,001.0-0002-0007.0,F_753722_2971691,,13 FAIRMONT ST,Arlington,Out Building,,,,130.0,14.76,18.83,21.2,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d61310bb-4a6b-480b-8bdf-27e874daf672,Y,130.46630859375
70,3630,001.0-0002-0008.0,F_753693_2971665,ADDR-144,17 FAIRMONT ST,Arlington,Building,,,,1484.0,13.64,35.12,46.82,ArlingtonMA_GIS,2023-10-24 20:02:07.930,4c18eef9-b8e7-4c15-b131-264aa42bbccd,Y,1484.148681640625
71,3631,001.0-0002-0008.0,F_753693_2971665,,17 FAIRMONT ST,Arlington,Out Building,,,,345.0,14.12,21.08,26.66,ArlingtonMA_GIS,2023-10-24 20:02:07.930,5fe2ba4c-4c91-4ee5-bafb-9064274e465a,Y,344.882080078125
72,3632,001.0-0002-0009.0,F_753661_2971635,ADDR-145,19 FAIRMONT ST,Arlington,Building,,,,1464.0,13.06,35.13,46.64,ArlingtonMA_GIS,2023-10-24 20:02:07.930,078f370f-245c-45d6-8f67-5dc620e4fe10,Y,1463.87109375
73,3633,001.0-0002-0009.0,F_753661_2971635,,19 FAIRMONT ST,Arlington,Out Building,,,,473.0,13.95,22.16,27.74,ArlingtonMA_GIS,2023-10-24 20:02:07.930,064474cb-ae0f-4b55-932b-34fde67cea4d,Y,472.870361328125
74,3634,001.0-0002-0010.0,F_753622_2971601,ADDR-146,21 FAIRMONT ST,Arlington,Building,,,,1809.0,12.95,32.3,46.64,ArlingtonMA_GIS,2023-10-24 20:02:07.930,30e9f9ec-8674-466d-8355-47d1e2694ee1,Y,1809.1513671875
75,3635,001.0-0002-0011.0,F_753589_2971570,ADDR-147,25 FAIRMONT ST,Arlington,Building,,,,1783.0,12.72,29.63,45.32,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b1d070b2-1487-4faa-87b0-25655411a737,Y,1782.563232421875
76,3636,001.0-0002-0012.0,F_753559_2971543,ADDR-148,27 FAIRMONT ST,Arlington,Building,,,,1775.0,12.34,29.31,43.64,ArlingtonMA_GIS,2023-10-24 20:02:07.930,909e50c2-d4e8-4849-97b3-b4f119fc845a,Y,1775.2138671875
77,3637,001.0-0002-0013.0,F_753526_2971513,ADDR-149,31 FAIRMONT ST,Arlington,Building,,,,1831.0,11.54,31.1,46.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,1e270fdd-4a3e-4382-82f6-0f6304df8096,Y,1831.39111328125
78,3638,001.0-0002-0013.0,F_753526_2971513,,31 FAIRMONT ST,Arlington,Out Building,,,,490.0,12.35,20.99,26.42,ArlingtonMA_GIS,2023-10-24 20:02:07.930,187d85d1-4ec1-4466-8d38-60fa2b0fb3ca,Y,489.9052734375
79,3639,001.0-0002-0014.0,F_753494_2971484,ADDR-150,35 FAIRMONT ST,Arlington,Building,,,,1875.0,10.54,30.68,47.14,ArlingtonMA_GIS,2023-10-24 20:02:07.930,ed19501e-2166-462a-8f55-a4422b9b0f7f,Y,1875.115478515625
80,3640,001.0-0002-0015.0,F_753463_2971456,ADDR-151,37 FAIRMONT ST,Arlington,Building,,,,914.0,9.69,27.12,35.54,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9101e8c2-07bb-4f7c-a93b-70b36b18d451,Y,914.34423828125
81,3641,001.0-0002-0015.0,F_753463_2971456,,37 FAIRMONT ST,Arlington,Out Building,,,,451.0,10.49,17.99,24.56,ArlingtonMA_GIS,2023-10-24 20:02:07.930,53707a51-378d-4b97-9709-ac9f34d6f0a9,Y,450.76806640625
82,3642,001.0-0002-0016.0,F_753433_2971428,ADDR-152,39 FAIRMONT ST,Arlington,Building,,,,918.0,9.36,26.94,36.08,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9cbdb2cd-eba5-42b3-9134-34f6495ee44c,Y,917.84716796875
83,3643,001.0-0002-0016.0,F_753433_2971428,,39 FAIRMONT ST,Arlington,Out Building,,,,97.0,8.63,15.89,18.02,ArlingtonMA_GIS,2023-10-24 20:02:07.930,62b8876a-e5f0-47d0-9a51-b4bc480ab4e8,Y,97.314208984375
84,3644,001.0-0002-0017.0,F_753404_2971402,ADDR-153,41 FAIRMONT ST,Arlington,Building,,,,1535.0,9.13,26.31,40.13,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d4394571-8788-436b-a152-fe2b0eb27e48,Y,1535.230712890625
85,3645,001.0-0002-0018.0,F_753374_2971375,ADDR-154,45 FAIRMONT ST,Arlington,Building,,,,1438.0,9.26,27.36,40.37,ArlingtonMA_GIS,2023-10-24 20:02:07.930,d7970130-f303-4fbd-b4d3-5f855ec46090,Y,1437.694580078125
86,3646,001.0-0002-0018.0,F_753374_2971375,,45 FAIRMONT ST,Arlington,Out Building,,,,107.0,8.37,15.44,16.97,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b0f381d3-9cd5-488c-ad55-7db8456f8167,Y,107.20703125
87,3647,001.0-0002-0019.0,F_753344_2971348,ADDR-155,47 FAIRMONT ST,Arlington,Building,,,,1111.0,9.12,24.81,35.99,ArlingtonMA_GIS,2023-10-24 20:02:07.930,75e6c3c6-1716-4dac-a922-7cc92fba09f8,Y,1110.9326171875
88,3648,001.0-0002-0020.0,F_753315_2971321,ADDR-156,49 FAIRMONT ST,Arlington,Building,,,,1510.0,9.04,34.62,41.12,ArlingtonMA_GIS,2023-10-24 20:02:07.930,902f66bc-b418-4b07-ab34-7456d0ad7800,Y,1509.9619140625
89,3649,001.0-0002-0020.0,F_753315_2971321,,70 THORNDIKE ST,Arlington,Out Building,,,,425.0,8.52,17.45,22.27,ArlingtonMA_GIS,2023-10-24 20:02:07.930,733f311e-ccf0-4d54-a0d2-ecf1ab3cf747,Y,424.8935546875
90,3650,001.0-0002-0021.0,F_753247_2971395,ADDR-157,66 THORNDIKE ST,Arlington,Building,,,,1560.0,10.88,35.16,43.72,ArlingtonMA_GIS,2023-10-24 20:02:07.930,9c33e4cd-fa2f-49b7-b60b-bdda8ada7338,Y,1559.56591796875
91,3651,001.0-0002-0021.0,F_753247_2971395,,70 THORNDIKE ST,Arlington,Out Building,,,,272.0,9.36,17.54,19.99,ArlingtonMA_GIS,2023-10-24 20:02:07.930,218eb365-df5a-4cc6-b346-059ab3a29858,Y,271.5126953125
92,3652,001.0-0002-0022.0,F_753277_2971422,ADDR-158,64 THORNDIKE ST,Arlington,Building,,,,1088.0,11.11,30.12,39.58,ArlingtonMA_GIS,2023-10-24 20:02:07.930,7e2be9c7-7c4a-47a8-87c6-185c55d92c87,Y,1087.939697265625
93,3653,001.0-0002-0022.0,F_753277_2971422,,64 THORNDIKE ST,Arlington,Out Building,,,,58.0,9.25,13.64,17.2,ArlingtonMA_GIS,2023-10-24 20:02:07.930,6b91f790-a90e-43d9-a1b6-8f26955da904,Y,58.255615234375
94,3654,001.0-0002-0023.0,F_753307_2971449,ADDR-159,58-60 THORNDIKE ST,Arlington,Building,,,,1832.0,11.08,32.64,44.83,ArlingtonMA_GIS,2023-10-24 20:02:07.930,570d6eb6-e333-48c5-a5f1-9cd04720993d,Y,1831.744873046875
95,3655,001.0-0002-0024.0,F_753336_2971476,ADDR-160,54 THORNDIKE ST,Arlington,Building,,,,1208.0,11.49,25.17,29.65,ArlingtonMA_GIS,2023-10-24 20:02:07.930,88eb8b02-b44f-4434-8e6d-f5f3c53fc4f1,Y,1207.969482421875
96,3656,001.0-0002-0024.0,F_753336_2971476,,54 THORNDIKE ST,Arlington,Out Building,,,,127.0,9.42,16.34,20.18,ArlingtonMA_GIS,2023-10-24 20:02:07.930,21865936-319c-4dcb-852c-c83f82f4b936,Y,126.934326171875
97,3657,001.0-0002-0024.0,F_753336_2971476,,54 THORNDIKE ST,Arlington,Out Building,,,,162.0,8.68,17.12,19.1,ArlingtonMA_GIS,2023-10-24 20:02:07.930,67a73398-b6ba-476a-a25f-08686bd36858,Y,161.95361328125
98,3658,001.0-0002-0025.0,F_753365_2971502,ADDR-161,50 THORNDIKE ST,Arlington,Building,,,,1650.0,12.45,30.75,45.83,ArlingtonMA_GIS,2023-10-24 20:02:07.930,0aa769e6-efc9-44ca-be63-78e29146cf0c,Y,1650.283935546875
99,3659,001.0-0002-0026.0,F_753396_2971530,ADDR-162,46 THORNDIKE ST,Arlington,Building,,,,1613.0,13.62,35.55,46.99,ArlingtonMA_GIS,2023-10-24 20:02:07.930,b5c1d8b6-fe2a-4f66-a4c7-2d8a08967db5,Y,1612.50830078125
100,3660,001.0-0002-0026.0,F_753396_2971530,,42 THORNDIKE ST,Arlington,Out Building,,,,470.0,11.68,20.78,27.62,ArlingtonMA_GIS,2023-10-24 20:02:07.930,a39ccde2-950a-497d-b0da-2394919bd384,Y,470.049072265625
101,3661,001.0-0002-0027.0,F_753427_2971558,ADDR-163,42 THORNDIKE ST,Arlington,Building,,,,1476.0,14.66,37.23,47.47,ArlingtonMA_GIS,2023-10-24 20:02:07.930,f8079d7e-670a-485d-bda6-a051d06a8006,Y,1476.212646484375
